SMILES,6Y9S_SP,4WHZ_SP,Weight,LogP,SA,QED,TPSA,HBA,HBD,RotBond,Filtered,3D_best_gsk3b,3D_sim_gsk3b,3D_best_jnk3,3D_sim_jnk3,3D_sim_2D_gsk3b,3D_sim_2D_jnk3
O=c1[nH]nc(-c2ccnc(NC3CCOCC3)c2)n1-c1ccc2cc(Br)ccc2c1,-10.02140249,-7.876724537,466.339,4.1292,2.663183998,0.472720803,84.83,6,2,4,TRUE,CHEMBL2386106,0.621475054,CHEMBL1644634,1,0.159090909,1
O=C1Nc2ccccc2NC1=CC(=O)c1cccc(Cl)c1Cl,-8.890370506,-8.57059323,333.174,4.1242,2.420935516,0.641870081,58.2,3,2,2,TRUE,50506652,0.662254902,CHEMBL4782076,1,0.169230769,1
Cc1ncn(-c2ccc(Nc3cc(-c4nocc4C)ccn3)cc2)n1,-7.007337208,-9.078070292,332.367,3.67774,2.778098444,0.613776158,81.66,7,1,4,TRUE,14666,0.618169673,CHEMBL3099976,1,0.112359551,1
CS(=O)(=O)Nc1ccc(-c2cnc3cccc(Nc4ccccn4)c3c2)cc1,-7.04599777,-7.625776969,390.468,4.4119,2.16110669,0.5272145,83.98,5,2,5,TRUE,CHEMBL3894571,0.622299913,CHEMBL401123,1,0.074468085,1
COc1ccc(CC(=O)Nc2scc(C)c2-c2nc(C)n[nH]2)cc1,-7.238588593,-7.900937432,342.424,3.33984,2.686151356,0.745118317,79.9,5,2,5,TRUE,51195509,0.582663353,CHEMBL1682006,1,0.156626506,1
COc1ccc(CC(=O)Nc2scc(C)c2-c2nnc(C)[nH]2)cc1,-7.284385231,-7.924157332,342.424,3.33984,2.746371944,0.745118317,79.9,5,2,5,TRUE,CHEMBL1834110,0.585238406,50626374,1,0.104651163,1
O=C(Cc1cccc2cnccc12)Nc1scnc1-c1cnccn1,-7.674025316,-8.765580417,347.403,3.3295,2.59631818,0.612317386,80.66,6,1,4,TRUE,CHEMBL3652546,0.603883495,CHEMBL1288159,1,0.093023256,1
CS(=O)(=O)Nc1ccc(-c2cnc3cccc(Nc4ncccn4)c3c2)cc1,-7.756934092,-7.671646687,391.456,3.8069,2.229057117,0.536971653,96.87,6,2,5,TRUE,CHEMBL2177161,0.632515687,CHEMBL248790,1,0.202380952,1
Cn1ccc(-c2cc(Nc3ccc(-n4cnc(-c5ccccn5)n4)cc3)ncc2F)n1,-8.914023947,-8.101297796,412.432,4.0075,2.721988742,0.469467975,86.34,8,1,5,TRUE,51304711,0.608870968,CHEMBL1771669,1,0.119565217,1
COc1cc(NC(=O)c2cccc(-n3cc(NC(=O)Nc4ccc(Cl)cc4)cn3)c2)cc(OC)c1OC,-7.896267043,-8.197761293,521.961,5.4478,2.305297164,0.283878854,115.74,7,3,8,TRUE,14673,0.53345136,200728,1,0.191489362,1
CS(=O)(=O)Nc1ccc(-c2cnc3cccc(Nc4ccc(C(F)(F)F)cn4)c3c2)cc1,-8.814693743,-6.933636963,458.465,5.4307,2.367540204,0.416653535,83.98,5,2,5,TRUE,50752181,0.542031975,CHEMBL398691,1,0.09,1
NC(=O)c1ccc(Nc2nccc(-c3ccccc3)n2)cc1,-9.231820913,-7.724473876,290.326,2.9861,1.771100761,0.773667353,80.9,4,2,4,TRUE,CHEMBL576165,0.720555378,CHEMBL571619,1,0.21875,1
Cc1cccc2nc3c(nc12)-c1ccccc1C3=NO,-8.236075094,-7.683039478,261.284,3.14522,2.424306512,0.390538556,58.37,4,1,0,TRUE,CHEMBL1276127,0.680125369,51238049,1,0.131147541,1
CCCCCCCCCCCc1cc(O)cc(O)c1C(=O)OC(CCC)CCCCCCCc1cc(OS(=O)(=O)O)cc(OS(=O)(=O)O)c1,-6.849437984,-7.822806272,730.939,8.4431,3.676097686,0.04104261,193.96,10,4,26,TRUE,CHEMBL4754192,0.311588032,50383507,1,0.114754098,1
N#Cc1c(NC(=O)c2cccc3ccccc23)sc2c1CCCN2Cc1cccnc1,-7.412827705,-9.058382046,424.529,5.37308,2.571292376,0.477945721,69.02,5,1,4,TRUE,14379,0.568876955,CHEMBL391656,1,0.191489362,1
O=C(C1CCC(Cn2c(=O)[nH]c3ccccc3c2=O)CC1)N1CCN(c2ccccc2)CC1,-6.81661184,-8.992930855,446.551,2.845,2.268699699,0.668575788,78.41,5,1,4,TRUE,CHEMBL2391126,0.575995861,CHEMBL1445111,1,0.055555556,1
COC(=O)c1c(C)csc1NC(=O)Cc1ccc(OCCCn2ccnc2)cc1,-6.832790552,-6.874822871,413.499,3.68992,2.390354449,0.427327672,82.45,7,1,9,TRUE,CHEMBL2386112,0.561014809,CHEMBL1681999,1,0.103092784,1
N#CC(c1ccnc(NCCO)n1)c1nc2ccccc2s1,-7.478785696,-9.267842794,311.37,2.14598,3.124569217,0.74943075,94.72,7,2,5,TRUE,CHEMBL191384,0.711226852,CHEMBL3909574,1,0.711864407,1
CNC(=O)c1ccccc1Nc1cc(Nc2ccc(N3CCOCC3)cc2OC)ncc1C#N,-6.843838406,-8.588068493,458.522,3.64528,2.581690355,0.492058464,111.54,8,3,7,TRUE,14683,0.542080502,CHEMBL3220468,1,0.2,1
Nc1ccc(-c2cnc3ccc4ccncc4c3c2)cc1,-8.290399902,-8.238870763,271.323,4.0322,2.096841883,0.419788911,51.8,3,1,1,TRUE,CHEMBL1630460,0.697478992,CHEMBL248832,1,0.111111111,1
NC(=O)c1ccccc1Nc1ccnc(Oc2ccccc2)c1,-8.133142709,-8.232336398,305.337,3.7164,1.938412563,0.75289129,77.24,4,2,5,TRUE,13884,0.773607337,CHEMBL1923184,1,0.215384615,1
O=C(Cc1ccc2ccccc2c1)Nc1cc(Cl)ccn1,-7.561346031,-7.402480721,296.757,4.0694,1.876198223,0.791409099,41.99,2,1,3,TRUE,CHEMBL3218297,0.596306861,CHEMBL4754904,1,0.223880597,1
Fc1ccc(-c2c(-c3ccnc(Nc4ccc(N5CCOCC5)cc4)c3)noc2N2CCOCC2)cc1,-6.120466743,-6.9348884,501.562,4.9595,2.681448973,0.397467449,75.89,8,1,6,FALSE,14678,0.493365726,CHEMBL3099970,1,0.135416667,1
