SMILES,Title,IC50nM,5NTP_XP,6QU7_XP,Weight,LogP,SA,QED,TPSA,HBA,HBD,RotBond,Filtered,3D_best_rorgt,3D_sim_rorgt,3D_best_dhodh,3D_sim_dhodh,3D_sim_2D_rorgt,3D_sim_2D_dhodh
CC(C)(O)C(=O)NCC1CN(S(=O)(=O)c2ccc(F)cc2)c2cc(NC(=O)OC(C)(C)C(F)(F)F)ccc2O1,644908,5.7,-8.012978811,-3.94130745,577.553,3.5585,3.405429924,0.428705423,134.27,7,3,7,TRUE,644908,1,1020504,0.47267867,1,0.146551724
CC(C)(C)OC(=O)Nc1cc(F)c2c(c1)N(S(=O)(=O)c1ccc(F)cc1)CC(CNS(=O)(=O)C1CC1)O2,645090,5.7,-5.461821766,-3.786623238,559.613,3.3499,3.329897708,0.531979331,131.11,7,2,7,TRUE,645090,1,1098825,0.477609523,1,0.254716981
Cc1nn(C(F)F)cc1S(=O)(=O)N1CC(c2n[nH]c(=O)o2)Oc2ccc(NC(=O)OC(C)(C)C(F)(F)F)cc21,945752,5.71,-7.486238684,-8.992065464,582.464,3.48132,4.007445858,0.414648867,161.65,10,2,6,TRUE,945752,1,51126195,0.508221944,1,0.140186916
CCn1cc(S(=O)(=O)N2CC(CC(C)(C)c3n[nH]c(=O)o3)Oc3ccc(NC(=O)OC(C)(C)C(F)(F)F)cc32)c(Cl)n1,945921,5.71,-4.718949041,-4.879383913,637.037,4.4463,4.159193213,0.363853886,161.65,10,2,8,FALSE,945921,1,1020675,0.535738311,1,0.1640625
Cc1cc(S(=O)(=O)N2CC(CCC(=O)O)Oc3c(F)cc(NC(=O)OC(C)(C)C(F)(F)F)cc32)ccc1F,680820,5.71,-6.97376387,-5.048112321,566.501,4.98372,3.505326167,0.453373928,122.24,6,2,7,TRUE,680820,1,1045600,0.412093329,1,0.160377358
Cn1c(C2CN(S(=O)(=O)c3ccc(F)cc3)c3cc(NC(=O)OC(C)(C)C)ccc3O2)n[nH]c1=O,945758,5.72,-6.091690164,-7.06683561,505.528,2.9235,3.268147422,0.556467962,135.62,8,2,4,TRUE,945758,1,CHEMBL200856,0.520069629,1,0.183673469
CC(C)(C)OC(=O)Nc1ccc2c(c1)N(S(=O)(=O)c1cccc(C(F)(F)F)c1)CC(CC(=O)NCCO)O2,945687,5.73,-6.497014888,-7.173916686,559.563,3.5073,3.178620517,0.472752581,134.27,7,3,7,TRUE,945687,1,1020509,0.483975923,1,0.12295082
COc1cc(S(=O)(=O)N2CC(CC(C)(C)C#N)Oc3ccc(NC(=O)OC(C)(C)C(F)(F)F)cc32)ccc1F,945888,5.73,-8.741013235,-4.77816356,573.565,5.61988,3.601519421,0.427375695,117.96,7,1,7,TRUE,945888,1,1020571,0.479421956,1,0.157024793
CN(C1CC1)S(=O)(=O)NCC1CN(S(=O)(=O)c2ccc(F)cc2)c2cc(NC(=O)OC(C)(C)C(F)(F)F)ccc2O1,945563,5.74,-6.928664602,-2.529878791,624.635,3.6,3.516491566,0.407486079,134.35,7,2,9,TRUE,945563,1,297802,0.258394362,1,0.158878505
Cn1cc(CNC(=O)CC2CN(S(=O)(=O)c3cccc(C(F)(F)F)c3)c3cc(NC(=O)OC(C)(C)C)ccc3O2)cn1,945666,5.74,-2.937209601,-3.345066771,609.627,4.4487,3.333293097,0.40472391,131.86,8,2,7,TRUE,945666,1,1020536,0.461007341,1,0.1640625
