SMILES,Title,IC50nM,5NTP_XP,6QU7_XP,Weight,LogP,SA,QED,TPSA,HBA,HBD,RotBond,Filtered,3D_best_rorgt,3D_sim_rorgt,3D_best_dhodh,3D_sim_dhodh,3D_sim_2D_rorgt,3D_sim_2D_dhodh
Cc1cc(C(=O)O)c2[nH]c(-c3ccc(-c4ccc(O)c(O)c4)cc3)nc2c1,297793,645,-8.036168075,-10.57797764,360.369,4.31472,2.338941954,0.407279404,106.44,4,4,3,FALSE,CHEMBL3982626,0.570270579,297793,1,0.153846154,1
CCCC(C)Oc1cc(-n2nc3n(c2=O)CCCC3)c(F)cc1C(=O)Nc1ncc(C)nc1C,1020388,650,-10.27566063,-13.05517946,468.533,3.73594,3.454158171,0.566614698,103.93,8,1,7,TRUE,351212,0.596201309,1020388,1,0.144329897,1
CCc1nn(-c2cc(OC(C)C3CCCCC3)c(C(=O)Nc3ccc(S(C)(=N)=O)cc3)cc2F)c(=O)n1C,1098825,650,-8.764553311,-12.32639095,543.665,4.90787,3.694976825,0.418560176,119.07,8,2,8,TRUE,644859,0.558506576,1098825,1,0.221238938,1
CCOC(=O)c1sc(Nc2ccc(C)c(F)c2)nc1C(C)(C)C,50312273,652,-9.343525194,-7.84444543,336.432,4.80842,2.334613222,0.814251785,51.22,5,1,4,TRUE,51085917,0.554163684,50312273,1,0.102564103,1
O=C(O)c1cc(Cl)cc2[nH]c(-c3ccc(-c4ccccc4)cc3F)nc12,297766,659,-8.410802587,-10.1449479,366.779,5.3876,2.177198512,0.510698571,65.98,2,2,3,TRUE,50529312,0.508293969,297766,1,0.162790698,1
CCCC(C)Oc1cc(-n2nc(C)n(C(C)C)c2=O)c(F)cc1C(=O)Nc1ccccc1F,1098614,665,-9.800771364,-12.80294921,458.509,5.02122,3.117602578,0.514118774,78.15,6,1,8,TRUE,CHEMBL3596636,0.552505738,1098614,1,0.169811321,1
O=C(O)c1cc(-c2ccc(Cl)cc2Cl)nc2ccc(Br)cc12,CHEMBL3819188,666.2,-6.029500483,-6.832771114,397.055,5.6693,1.994289057,0.606579043,50.19,2,1,2,TRUE,651566,0.495518842,CHEMBL3819188,1,0.209302326,1
O=C(O)C1=C(C(=O)Nc2ccc(-c3ccccc3)cc2)CSC1,50319902,667,-10.25966929,-9.559352906,325.389,3.4201,2.216426486,0.903755947,66.4,3,2,4,TRUE,50387987,0.575024319,50319902,1,0.116883117,1
Cc1ccccc1NC(=O)c1cccc2nc(-c3cc(Br)nn3-c3ncccc3Cl)[nH]c12,50499496,676,-9.642681038,-8.383947164,507.779,5.78722,2.682421441,0.322314645,88.49,5,2,4,FALSE,544129,0.543595464,50499496,1,0.119266055,1
COc1cccc(-c2ccc(NC(=O)C3=C(C(=O)O)C(O)CC3)c(F)c2)c1,50319888,680,-9.540725407,-11.23663896,371.364,2.9757,2.862901033,0.750977852,95.86,4,3,5,TRUE,651475,0.555751588,50319888,1,0.197674419,1
CC(CNC(=O)OC(C)(C)C)Oc1cc(-n2nc3n(c2=O)CCCC3)c(F)cc1C(=O)Nc1c(F)cccc1Cl,1020703,680,-9.802022435,-12.83488674,578.016,4.8462,3.434753579,0.414767726,116.48,8,2,7,TRUE,651513,0.560389777,1020703,1,0.224137931,1
Cc1cc(C(=O)O)c2nc(-c3ccc(-c4ccc(NC(=O)C5CCCN5)cc4)cc3)[nH]c2c1,297791,692,-7.88082027,-9.847882727,440.503,4.59402,2.841905898,0.363005526,107.11,4,4,5,TRUE,1133003,0.484261723,297791,1,0.173469388,1
O=C(Nc1cc(Cl)cc(Cl)c1)Nc1ccccc1C(=O)O,50565528,700,-7.311434924,-6.329541463,325.151,4.3356,1.779857679,0.785494534,78.43,2,3,3,TRUE,668661,0.539290638,50565528,1,0.098765432,1
CCc1oncc1C(=S)Nc1ccc(OC(F)(F)F)cc1,50123301,700,-6.615701972,-7.69734965,316.304,3.9232,2.647689244,0.866293153,47.29,4,1,4,TRUE,1156143,0.501020269,50123301,1,0.058139535,1
CNc1nn(-c2cc(OC(C)C(F)(F)F)c(C(=O)Nc3c(F)cccc3F)cc2F)c(=O)n1C,972559,700,-9.905182578,-12.68713748,489.376,3.6119,3.428401154,0.516787937,90.18,7,2,6,TRUE,667131,0.587619245,972559,1,0.147058824,1
CCCC(C)Oc1cc(-n2nc(CC)n(C)c2=O)c(F)cc1C(=O)Nc1ccc(CN)c(C)c1,972511,700,-9.446858612,-11.97281881,469.561,3.85932,3.255762079,0.495263378,104.17,7,2,9,TRUE,51109452,0.546600877,972511,1,0.175925926,1
COc1ccc(NC(=O)c2cc(F)c(-n3nc4n(c3=O)CCCC4)cc2OC(C)C2CCCCC2)nn1,1020513,700,-7.068502977,-10.13858013,510.57,3.9079,3.471669391,0.512747458,113.16,9,1,7,TRUE,651534,0.569025678,1020513,1,0.12295082,1
COc1cc(C)c(NC(=O)c2cc(Cl)c(-n3nc4n(c3=O)CCCC4)cc2OC(C)C(F)(F)F)cn1,1020692,700,-9.665704876,-10.53719663,525.915,4.31762,3.489471369,0.51437537,100.27,8,1,6,TRUE,478124,0.581142425,1020692,1,0.221238938,1
Cc1ccncc1NC(=O)c1cc(F)c(-n2nc3n(c2=O)CCOC3)cc1OC(C)C(F)(F)F,1020575,700,-11.4240951,-11.45803361,481.406,2.98862,3.541103149,0.562824643,100.27,8,1,5,TRUE,667131,0.609794629,1020575,1,0.146788991,1
COc1cc(-c2cc(C(=O)O)c3ccccc3n2)ccc1OCC(=O)NCc1cccnc1,51406355,700,-10.34325147,-9.385363181,443.459,3.6988,2.134946794,0.427162765,110.64,6,2,8,TRUE,CHEMBL4439289,0.608892083,51406355,1,0.095238095,1
CCc1oncc1C(S)=Nc1ccc(OC(F)(F)F)cc1,CHEMBL306784,700,-6.615701972,-7.759663874,316.304,4.1437,3.08844813,0.52365742,47.62,4,1,4,TRUE,1156143,0.501020269,CHEMBL306784,1,0.058139535,1
O=C(O)c1cccc2nc(-c3c(F)c(F)c(-c4ccccc4OCc4ccccc4)c(F)c3F)[nH]c12,297803,707,-11.21743331,-7.983160448,492.428,6.7305,2.657987879,0.20361204,75.21,3,2,6,TRUE,351241,0.602706027,297803,1,0.130434783,1
CC(C)CCC1=C(O)C(=O)c2ccccc2C1=O,51282831,709,-7.663985066,-8.197096259,244.29,3.3139,2.350265034,0.886966787,54.37,3,1,3,FALSE,51236259,0.482581967,51282831,1,0.136363636,1
NCCO.O=C(O)c1[nH]c(=O)[nH]c(=O)c1CCc1ccc(C(F)(F)F)cc1,50555335,719,-8.949196018,-8.534788481,389.33,0.5028,2.565879158,0.502760036,149.27,5,5,5,TRUE,667123,0.5182295,50555335,1,0.105263158,1
CC(=CCc1c(O)c(Cl)c(C)c(C=O)c1O)CCC=C(C)C1CC(O)C(C)(C)O1,51423339,720,-11.24127807,-9.757364154,422.949,5.01582,4.286078567,0.424069761,86.99,5,3,7,FALSE,51122320,0.516601013,51423339,1,0.079207921,1
Cc1cnc(C(=O)NC2CCCc3c2cnn3-c2ccccc2F)cn1,993083,735,-9.293016614,-9.731993071,351.385,2.91722,2.91550856,0.787422397,72.7,5,1,3,TRUE,766132,0.563770795,993083,1,0.263736264,1
O=C(O)C1=C(C(=O)Nc2ccc(-c3ccc(Br)cc3)cc2F)CCC1,50251702,735,-8.856870216,-10.70548996,404.235,4.7588,2.239060467,0.772553289,66.4,2,2,4,TRUE,51044442,0.552441954,50251702,1,0.16,1
CCCC(C)Oc1cc(-n2nc(C)n(C(C)C)c2=O)c(F)cc1C(=O)Nc1cccc(C(F)(F)F)c1,1098612,738,-11.07234074,-12.83477421,508.516,5.90092,3.23105796,0.384468578,78.15,6,1,8,TRUE,578603,0.519076133,1098612,1,0.129032258,1
O=C(O)c1cccc2[nH]c(-c3ccc(-c4ccccc4)cc3)nc12,50358230,750,-9.323815975,-9.903647724,314.344,4.5951,1.86974687,0.580767804,65.98,2,2,3,TRUE,50082652,0.553254438,50358230,1,0.101265823,1
CNC(=O)c1nn(-c2cc(OC(C)C(F)(F)F)c(C(=O)Nc3c(F)cccc3F)cc2F)c(=O)n1C,1098846,750,-9.21861435,-12.43973651,517.386,2.9298,3.468009219,0.48943829,107.25,7,2,6,TRUE,CHEMBL3924809,0.509881423,1098846,1,0.112244898,1
